,Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood,Occured Year,Occured Day,Occured Month
73,20170000252987,06/16/1999,0.0,06/23/2017,0.0,RAPE,RAPE-STRONGARM,NORTH,L,L1,LAKECITY,1999,16,06
74,20090000283517,08/01/1999,0.0,08/12/2009,859.0,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,UNKNOWN,,,UNKNOWN,1999,01,08
75,20110000373962,09/01/1999,800.0,11/18/2011,1327.0,SEX OFFENSE-OTHER,SEXOFF-OTHER,NORTH,U,U3,SANDPOINT,1999,01,09
76,20110000357935,01/01/2000,1500.0,11/03/2011,839.0,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,NORTH,L,L1,LAKECITY,2000,01,01
77,20120000417850,01/01/2000,1231.0,12/07/2012,1200.0,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,NORTH,N,N3,NORTHGATE,2000,01,01
78,20100000102570,01/01/2000,1200.0,03/29/2010,1409.0,SEX OFFENSE-OTHER,SEXOFF-OTHER,UNKNOWN,,,UNKNOWN,2000,01,01
79,20110000336548,01/01/2000,1200.0,10/14/2011,722.0,SEX OFFENSE-OTHER,SEXOFF-OTHER,UNKNOWN,,,UNKNOWN,2000,01,01
80,20180000153604,01/01/2000,1200.0,05/01/2018,1014.0,SEX OFFENSE-OTHER,SEXOFF-OTHER,SOUTHWEST,F,F1,NORTH DELRIDGE,2000,01,01
81,2013000011218,01/01/2000,1200.0,01/10/2013,1403.0,SEX OFFENSE-OTHER,SEXOFF-OTHER,NORTH,L,L1,LAKECITY,2000,01,01
82,20170000279627,01/01/2000,800.0,07/30/2017,2046.0,SEX OFFENSE-OTHER,SEXOFF-INDECENT LIBERTIES,UNKNOWN,,,UNKNOWN,2000,01,01
83,2014000032599,01/01/2000,800.0,01/30/2014,1019.0,SEX OFFENSE-OTHER,SEXOFF-OTHER,SOUTH,O,O1,SODO,2000,01,01
84,20100000210167,01/01/2000,0.0,06/21/2010,1219.0,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTHWEST,F,F2,SOUTH DELRIDGE,2000,01,01
85,2009000091602,01/01/2000,0.0,03/17/2009,818.0,SEX OFFENSE-OTHER,SEXOFF-INDECENT LIBERTIES,SOUTHWEST,W,W2,HIGH POINT,2000,01,01
86,20180000139080,01/01/2000,0.0,03/05/2018,1500.0,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,UNKNOWN,,,UNKNOWN,2000,01,01
87,2009000033863,01/01/2000,0.0,01/28/2009,1615.0,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTHWEST,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,2000,01,01
88,20070000356848,01/01/2000,0.0,08/29/2007,1500.0,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,UNKNOWN,,,UNKNOWN,2000,01,01
89,20080000332314,01/01/2000,0.0,09/05/2008,1036.0,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,NORTH,N,N3,GREENWOOD,2000,01,01
90,200900005655,01/05/2000,1757.0,01/05/2009,1912.0,CAR PROWL,THEFT-CARPROWL,SOUTH,S,S2,RAINIER BEACH,2000,05,01
91,200900009550,01/08/2000,750.0,01/08/2009,1839.0,CAR PROWL,THEFT-CARPROWL,NORTH,J,J3,ROOSEVELT/RAVENNA,2000,08,01
92,2017000028489,01/24/2000,1200.0,01/24/2017,909.0,RAPE,SEXOFF-SODOMY,SOUTHWEST,W,W3,MORGAN,2000,24,01
93,20110000157918,03/01/2000,0.0,05/18/2011,935.0,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTH,S,S1,MID BEACON HILL,2000,01,03
94,20080000129266,03/03/2000,1700.0,04/10/2008,1813.0,THEFT-BUILDING,THEFT-BUILDING,WEST,D,D3,SLU/CASCADE,2000,03,03
95,2009000083686,03/09/2000,2100.0,03/10/2009,1618.0,CAR PROWL,THEFT-CARPROWL,SOUTH,R,R2,MOUNT BAKER,2000,09,03
96,20110000903076,03/10/2000,1230.0,08/11/2011,1743.0,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B2,PHINNEY RIDGE,2000,10,03
97,20090000105377,03/28/2000,200.0,03/28/2009,1608.0,CAR PROWL,THEFT-CARPROWL,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,2000,28,03
98,20180000113329,03/30/2000,1108.0,03/31/2018,1108.0,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,D,D3,SLU/CASCADE,2000,30,03
99,20130000118027,04/01/2000,1.0,04/08/2013,1619.0,SEX OFFENSE-OTHER,SEXOFF-INDECENT LIBERTIES,UNKNOWN,,,UNKNOWN,2000,01,04
